art_style,painting,emotion,utterance,repetition
Realism,vasily-perov_students-talk-with-the-monk-1871,amusement,It looks like these guys are having a spirited discussion and I am amused by spirited discussions.,6
Realism,vincent-van-gogh_the-bakery-in-de-geest-1882,contentment,The people are standing outside of stores that look very old-fashioned,6
Impressionism,guy-rose_the-end-of-the-day-1891,awe,The detail in the workers as they walk home after a long day is quite breathtaking.,6
Impressionism,john-singer-sargent_millet-s-garden-1886,awe,The shadows and bright colors make it look like a wonderful day outside.,6
Northern_Renaissance,albrecht-durer_head-of-a-smiling-woman,amusement,I wonder if the way our faces look has changed that much from when this was painted to today.,6
Northern_Renaissance,robert-campin_samian-sibyl,amusement,The woman presents the ribbon as if it holds importance.,6
Expressionism,sa-nogueira_figure,fear,the unlcothed man looks evil with no face,6
Realism,vasily-polenov_christ-and-the-sinner-1873,fear,The stone structure looks like a kiln to cremate bodies in,6
Expressionism,spyros-papaloukas_portrait-of-a-boy-1922,fear,The little boy is looking around with shifty eyes,6
Impressionism,walter-sickert_home-life,contentment,The man seems quite comfortable in the way he looks onward for more.,6
Realism,thomas-eakins_delaware-riverscape-from-gloucester,awe,The scene is quite beautiful in the way it shows the beauty of the river quite nicely.,6
Realism,john-lewis-krimmel_philadelphia-election-day-1815,excitement,Something exciting must have happened since all of these people came out onto the street.,6
Realism,william-adolphe-bouguereau_branche-de-laurier-1900,contentment,The woman is quite beautiful in the way she holds herself and her pose as she looks on.,6
Romanticism,theodore-chasseriau_v-nus-anadyom-ne-1838,amusement,seems that she is a mermaid that just came out of the ocean,6
Impressionism,maxime-maufra_great-sea,awe,the water is done beautifully it almost looks like it's filled with diamonds,6
Realism,vasily-surikov_room-in-surikov-s-house,something else,The womans house looks like it could use a bit more color.,6
Impressionism,pierre-auguste-renoir_anemones-1898,contentment,The purple rose on the right is blooming so hard it looks like it's smiling.,6
Realism,valentin-serov_portrait-of-sergei-chokolov-1887,awe,The man looks important since he's so sharply dressed and groomed,6
Post_Impressionism,vincent-van-gogh_peasant-woman-head-9,contentment,"The grandmother looks very wise, and has a curious expression.",6
Romanticism,orest-kiprensky_portrait-of-a-i-molchanova-with-daughter-1814,amusement,The young child is quite funny in the way he stares onward at the mother-fgure.,6
Realism,pyotr-konchalovsky_still-life-grenades-1954,amusement,"The fruits and wine make for a joyous occasion, it seems.",6
Romanticism,vasily-tropinin_monk-with-candle-1834,fear,The way the man peers over the book almost strikes fear in the viewer.,6
Romanticism,viktor-vasnetsov_vesna-krasna-1885,awe,The woman is holding up a bouquet of flowers very triumphantly,7
Realism,john-singer-sargent_flora-priestley-1889,sadness,The woman's skin is really pale so she looks ill,6
Impressionism,karoly-ferenczy_man-sitting-on-a-log-1895,contentment,"It looks like such a relaxing time of meditation, reading quietly on a log under the shade of trees.",6
Impressionism,konstantin-korovin_at-the-oke-1892,contentment,The subtle shine of the water provides a hope for the morning.,6
Romanticism,theodore-gericault_napoleon-s-stallion-tamerlan,awe,The steed in this image has a mane and a coat that show its majesty and how much it is taken care of.,6
Impressionism,konstantin-korovin_cafe-1901,excitement,"It looks like there is some sort of fun event going on here, with alot of people and stuff to do! I love it!",6
Realism,mary-cassatt_sketch-of-mrs-currey-sketch-of-mr-cassatt-1871,contentment,The woman appears quite beautiful and it makes me wonder why they man seems somewhat significant.,6
Romanticism,rudolf-von-alt_view-of-bad-gastein-1888,disgust,The trees are obscuring the view of the house since there is so much overgrowth,6
Romanticism,karl-bryullov_portrait-of-princess-z-a-volkonskaya,contentment,The woman has a content air and her ornate dress gives the sense that she is doing well.,6
Realism,john-singer-sargent_drawing-8,sadness,the twist of torso makes the man look like struggling,6
Impressionism,konstantin-korovin_two-in-a-chair-1921,contentment,"The couple is sitting in the rocking chairs, catching up on their days",6
Impressionism,eugene-boudin_the-deauville-basin-1887,excitement,The boats make me wish I could go sailing.,6
Impressionism,pierre-auguste-renoir_self-portrait-1,contentment,The man's stare is quite blank and almost seems vacant.,6
Realism,pyotr-konchalovsky_autumn-1949,contentment,"I'll race you to the top of the hill, says one cow. No, let's not, says the other.",6
Impressionism,pierre-auguste-renoir_gladioli-1884,contentment,"The vase has a flower painted on it, which is the same color as the flowers it's carrying",6
Northern_Renaissance,lucas-cranach-the-elder_portrait-of-rudolph-agricola,sadness,The man's face is cracking so he must be getting older,6
Symbolism,pierre-puvis-de-chavannes_the-happy-land-detail-1882,contentment,The women look like they have a lot of fruit to eat,6
Northern_Renaissance,albrecht-durer_nude-sel-portrait-1505,something else,The candid view of the naked man makes me uncomfortable.,6
Impressionism,konstantin-korovin_cafe-in-yalta-1905,contentment,"this beautiful eating place looks so satisfying, wanting you to go there",6
Realism,jean-francois-millet_seated-nude,sadness,"the subject looks sad and afraid, naked and alone, cowering",7
Impressionism,john-henry-twachtman_new-york-harbor,contentment,The light tans and browns make this harbor scene serene and comforting.  I feel like the ship on the left has finally reached a safe harbor and its crew is resting safely.,6
Northern_Renaissance,rogier-van-der-weyden_virgin-and-child-4,sadness,"the drooping face of the queen is so negative and sad , also the baby looks sad",6
Impressionism,paul-gauguin_abandoned-garden-in-rouen,sadness,"Being bare, the trees make this landscape look weathered and empty.",6
Post_Impressionism,vincent-van-gogh_village-street-and-steps-in-auvers-with-two-figures-1890,excitement,"It is a cheery outdoor scene, i would like to be among this scenery.",6
Impressionism,valentin-serov_children-sasha-and-yura-serov-1899,amusement,One of the kid is glaring at the artist. I don't think he wants to be painted.,6
Post_Impressionism,paul-gauguin_the-kelp-gatherers-1889,contentment,The women are quite lovely as they all seem to work alongside one another in peace.,6
Realism,pyotr-konchalovsky_on-the-deck-of-the-trawler,fear,There is a fear because of the threatening skies overhead and what could happen to the ship.,6
Realism,vincent-van-gogh_orphan-man-with-top-hat-drinking-coffee-1882-1,contentment,An old man enjoys a nice cup of tea.,6
Impressionism,odilon-redon_small-village-in-the-medoc,something else,"the houses in the  painting look so vague and incomplete, the ground looks so unreal",6
Impressionism,john-singer-sargent_charles-stuart-forbes-1883,amusement,The man has a look on his face reminicent of drug addicts.,6
Impressionism,marianne-north_the-taj-mahal-at-agra-north-west-india-1878,awe,"It's like a booming metropolis, but the beautiful garden scene is just out of its reach.",6
Northern_Renaissance,pieter-bruegel-the-elder_the-parable-of-the-sower-1557,fear,The clouds and hazy darkness appear as an omen for bad events.,7
Post_Impressionism,vincent-van-gogh_field-with-flowers-1888(1),contentment,The field is filled with freshly bloomed wildflowers,6
Romanticism,viktor-vasnetsov_duel-peresvet-with-chelubey-1914,fear,the horses look like they are engaging in a hard fight,6
Baroque,guido-reni_abduction-of-deianira-1621,fear,The figures seem to be fighting something bigger than them above them.,5
Symbolism,mikalojus-ciurlionis_mountain-1906,disgust,This looks cold and nasty...like a huge snow storm rolling in.,6
Post_Impressionism,ion-pacea_still-life-with-tazza-and-seashell,amusement,The shell being out of place is a way to prove the world is changing,6
Baroque,josefa-de-obidos_natureza-morta-com-frutos-e-flores-1670,contentment,a table with plates of fruits of different kinds and some flowers,6
Impressionism,childe-hassam_view-of-florence-from-san-miniato,contentment,a very great view of a large city from the top of a high building,12
Baroque,hendrick-terbrugghen_the-calling-of-st-matthew-1,awe,The golden aura behind the third figure makes the picture resonate with emotion.,6
Impressionism,childe-hassam_country-fair-new-england,something else,An old English picture of a ceremony.,6
Symbolism,mikhail-nesterov_michael-s-vocation-to-the-realm-1885,awe,The young child seems to have some sort of power to be able to have a grown person bow down.,6
Art_Nouveau_Modern,leon-bakst_costume-design-for-the-marchioness-hunting-from-sleeping-beauty-1921,contentment,a woman dressed in very stuffy coat and holding a whip in her right hand,6
Realism,ferdinand-hodler_portrait-of-louise-delphine-duchosal-1885,contentment,I enjoy the delicate white flower this woman holds,6
Rococo,william-hogarth_the-march-of-the-guards-to-finchley-1750,excitement,The people in the streets seem to be celebrating something with the soldiers.,6
Abstract_Expressionism,richard-pousette-dart_encrustation-1976,contentment,The red and blue patterns feel calm and orderly,6
Impressionism,camille-pissarro_the-harvest-at-montfoucault-1876,contentment,"I like the use of shadow, and the mix of clouds and sky.",5
Realism,henri-fantin-latour_still-life-peach-and-grapes-1870,contentment,The delicate shiny grapes look very tasty.,5
Abstract_Expressionism,sam-francis_firewood-1973,disgust,"It looks as though someone tried to play tic-tac-toe with red blood, yellow urine, brown fecal matter, and blue industrial lubricant.",6
Impressionism,childe-hassam_evening-champs-elysees-aka-pres-du-louvre,something else,The blue flowers on her hats stands out from everything.,5
Post_Impressionism,irma-stern_the-bride-1943,sadness,The way she looks away and purses her lips seems sad.,6
Art_Nouveau_Modern,nicholas-roerich_mikula-selyaninovich-1909,awe,The blues make it look like the man is climbing through the sky.,5
Impressionism,childe-hassam_on-the-balcony,contentment,A silver moon precedes over a silent cold night.,6
Art_Nouveau_Modern,nicholas-roerich_kostroma-romanov-boyars-tower-1903,contentment,several numbers of stairs leading to the entrance of a big building,5
Impressionism,claude-monet_cobeas,contentment,It is a dream ladder to the sky.,6
Symbolism,mstislav-dobuzhinsky_courtyard-in-palanga-1932,sadness,The brown color of the town makes it look deserted or if something bad happened.,5
Impressionism,camille-pissarro_the-cowherd,contentment,The brush strokes of the artist and the use of different colors make it easy to tell what the objects in the painting are.,6
Post_Impressionism,maurice-prendergast_april-snow-salem,excitement,"This looks like a bustling day out in the snow, with a beautiful lake in the background.",6
Impressionism,childe-hassam_in-the-park,something else,The over use of yellow make it difficult to tell whats going on.,5
Art_Nouveau_Modern,koloman-moser_design-of-100-crowns-bill-1910,contentment,Her facial expression is calming and the color blue makes me feel calm.,6
Baroque,peter-paul-rubens_decius-mus-addressing-the-legions,awe,The detail in the clothing and shoes is impressive.,6
Impressionism,childe-hassam_street-scene-christmas-morning,sadness,This woman looks very lonely. She also looks very cold.,6
Abstract_Expressionism,richard-pousette-dart_head-of-a-king-1940,disgust,"It is a nearly skeletal, corpse-like being wearing a jagged crown.  Not very appealing, possibly mildly nightmare inducing.",6
Expressionism,helene-schjerfbeck_the-fortune-teller-woman-in-yellow-dress-1926,sadness,"The woman's face is angular and odd.  She looks very sad, although her dress looks like it's trying to be cheerful.",6
Realism,gustave-courbet_chateau-de-chillon-1873,sadness,"The building looks lonely and isolated, like the water is going to overtake it soon.",5
Abstract_Expressionism,sam-francis_untitled-1978-1,disgust,The use of random colors and random paint splatters,6
Abstract_Expressionism,salvador-dali_oblatio-munda-1967,disgust,"It looks like a coffee stain that someone has turned into and angel being painted.  Mildly clever I suppose, but still looks gross.",11
Art_Nouveau_Modern,leon-bakst_portrait-of-boris-nikolayevich-bugaev-pseudonym-andrey-bely-1905,contentment,"The man looks familiar, like someone I know, and he looks interesting.",5
Baroque,osias-beert_still-life-with-artichokes-1610,contentment,A meal can look perfect even on a dark day,6
Naive_Art_Primitivism,radi-nedelchev_wings-1979,amusement,The beautiful colors and the hidden images make this intriguing.,5
Naive_Art_Primitivism,niko-pirosmani_shota-rustaveli-1913,amusement,The man wearing whats looks like cowboy boots make me laugh.,5
Impressionism,camille-pissarro_woman-in-an-orchard-spring-sunshine-in-a-field-eragny-1887,contentment,a woman walking in a field with two baskets in her hands,5
Baroque,guido-reni_susanna-and-the-elders-1620,sadness,"interpreting this piece as a rape picture, the hunger into in the men eyes.",6
Art_Nouveau_Modern,ivan-bilibin_prince-ivan-and-the-firebird-illustration-for-the-russian-fairy-story-the-firebird-1901,awe,It is sort of mystical.,5
Impressionism,childe-hassam_old-dutch-building-fishkill-new-york,something else,The red around the windows feels like a nice contrast to the white house and gives it a friendly feeling.,6
Realism,frederic-remington_the-song-of-hiawatha-illustration,contentment,It's very historical looking.  I like seeing the canoe on the river.  The black and white also ads to its historical aspect.,6
Symbolism,mikalojus-ciurlionis_allegro-sonata-of-the-spring-1907(1),sadness,The trees waving in one direction and the small puddles of rivers remind me of climate change.,6
Post_Impressionism,maurice-prendergast_west-church-boston-also-known-as-red-school-house-boston-or-west-church-at-cambridge-and-lynde,excitement,All the dressed up children seem to be going to school.,5
Realism,fyodor-vasilyev_mountains-of-the-crimea-in-autumn,contentment,a large expanse of land captured in distance and a view of the sky,5
Abstract_Expressionism,sam-francis_indigo-wood-1982,fear,"the painting is so dark, creepy and so gloomy",6
Rococo,william-hogarth_inigo-jones,something else,Barrel chested older man with a beard. He seems to be a teacher and looks earnest.,6
Art_Nouveau_Modern,koloman-moser_sketch-of-emblem-to-ver-sacrum-1898,awe,"Great way to use black paint, in shading and lining.",6
Expressionism,iosif-iser_seated-woman-with-yellow-jacket,excitement,The vibrant yellow jacket really pops and stands out as the main item in this painting.,6
Expressionism,george-bouzianis_old-woman-with-red-scarf(2),sadness,"The woman looks sad, and the red on her head looks almost like an emotional pain or trauma.",5
Abstract_Expressionism,richard-tuttle_20-pearls-9-2003,anger,The purple looks like a pot and maybe the other colors look like steam rising.  It's very confusing and distracting.,11
Baroque,jan-steen_harpsichord-lesson-1660,contentment,"It looks like a painting of an instructor teaching his young student how to play the clavichord.  I enjoy seeing people learning to play music, and the woodwork on the clavichord, chair, doorway, and picture frame are superb.",6
Symbolism,nicholas-roerich_cloud-1915,contentment,The simplicity of the landscape is meditative.,6
Post_Impressionism,le-pho_la-fleuriste-1967,contentment,The bright yellows and shadowy woman in the background seem angelic,5
Expressionism,franz-marc_two-cats-blue-and-yellow-1912,fear,"The yellow cat is looking down with determination at the tail in the corner, i think he is going to attack",6
Symbolism,nicholas-roerich_lake-hyumpola,contentment,The blue mountains against the yellow/white sky background and mist is very calming.,6
Cubism,rene-magritte_bathers-1921(1),disgust,"Naked bodies touching each other, facing various directions while wading in dark water doesn't imply that things will end well.",6
Post_Impressionism,horace-pippin_the-warped-table-still-life-1940,contentment,This looks like a primitive painting of a cheerful still life of fruit and a rose on a side table. It just has a happy feeling about it.,6
Naive_Art_Primitivism,niko-pirosmani_the-farmer-and-his-grandson-1908,awe,"This looks like a generational grandfather and grandson spending time together, it's sweet.",5
Post_Impressionism,mary-fedden_fruit-2009,contentment,How a woman can make a house feels warm with her skills and love,5
Baroque,guido-reni_head-of-saint-joseph,contentment,The man looks very holy and lost in his studies.,6
Abstract_Expressionism,sam-francis_untitled-sf-259-1980,excitement,The splattered colorful paint over a blue square with a hole feels like excitement at a party or fun!,6
Naive_Art_Primitivism,tarsila-do-amaral_the-lake-1928,contentment,numbers of different colors of flowers from separate plants all by a river,5
Impressionism,childe-hassam_cotysville,contentment,How much of the water is being scene,5
Symbolism,mikalojus-ciurlionis_cliff-at-the-seaside-1905,awe,The shading makes it feel like you're actually walking up a mountain,5
Post_Impressionism,mario-zanini_banhistas,fear,The blank faces of the bathing figures give a sense of detachment from the viewer.,11
Expressionism,jackson-pollock_bird-1941(1),fear,The staring psychotic eye seems to be opening a portal to another dimension.,5
Abstract_Expressionism,walter-darby-bannard_aberddeen-i-1970,sadness,The grey tones in the background overwhelm the abstract canvas and give it a melancholy feel.,6
Realism,gustave-courbet_a-young-woman-reading-1868,contentment,"The figure seems totally immersed in their book, even a smile on their lips.",6
Romanticism,gustave-dore_the-emir-s-head-shown-in-the-seraglio,fear,The bottom figures all seem to be splayed on the floor in agony.,5
Symbolism,maurice-denis_panel-6-psyche-s-kin-bid-her-farewell-on-a-mountain-top-1908,sadness,The love smitten couple are heartbroken as things are not going as they planned because of meddling people.,6
Post_Impressionism,le-pho_fruit-picking,sadness,Children in background decide it is best to leave the woman alone in her revery.,6
Baroque,jacob-jordaens_the-rest-of-diana,disgust,The picture seem to be disturbing even though beautiful.,5
Post_Impressionism,maurice-prendergast_ponte-della-paglia-1899,awe,The blending of all the different colors in this painting make it seem like there is a lot going on,6
Romanticism,gustave-dore_don-quixote-4,awe,The central figure looks like a real beast.,5
Expressionism,ion-pacea_peisaj-de-litoral-1973,disgust,"It looks like a close u shot of the eye of a colourful South American tree from, but given the red and white colour scheme, likely one of the poisonous ones.",6
Symbolism,nicholas-roerich_ashram-1933,contentment,The tall rocks with design in them an the water so peaceful.,5
Symbolism,mikhail-vrubel_eastern-dance-1887,something else,I feel akward looking at the woman nude as the other people are staring at her.,6
Impressionism,childe-hassam_early-evening-after-snowfall,contentment,"This impressionist image of a wintry city scene looks cozy due to its bright, warm colors.",6
Post_Impressionism,istvan-ilosvai-varga_forest-scene-with-colt-1940,awe,the contrast of the calm man with the staff against the swirly forest and the odd moonlight make this a bit spooky and mysterious.,6
Abstract_Expressionism,walter-battiss_john,sadness,The jumbled mess seems to say that all the stars and mess in the universe is being thrown at you.,6
Romanticism,gustave-dore_the-return-of-the-prodigal-son,sadness,"Family gets word that the boat carrying the Prodigal Son has been delayed, again.",6
Realism,giovanni-boldini_outskirts-of-paris,fear,"The thick blue smoke from off-right, and the speed of the horses.",6
Baroque,jacob-jordaens_adoration-of-the-shepherds-1617,excitement,The painting represents excitement of a newborn baby. The people gathered by the gift of life.,5
Post_Impressionism,jacques-villon_the-negro-1899,contentment,This picture is done in such dark tones you can barely see the subjects.  But the expressions on their faces are very telling.,11
Symbolism,mikalojus-ciurlionis_friendship-1907,awe,Wow I love this! You can see different faces going around the sphere and it looks like they're looking into another dimension.,5
Abstract_Expressionism,sam-francis_untitled-1-1987,amusement,The shapes seem like a cartoon face.,6
Abstract_Expressionism,vasile-dobrian_we-were-so-close-that-nothing-used-to-stand-between-us-from-the-autumn-series,something else,"It is boring overall, but a bit interesting with the image of people inside.",6
Post_Impressionism,ion-pacea_still-life-with-flowers-and-apples,contentment,"The flowers and fruit are simple, but the way they are presented is beautiful.",5
Romanticism,gustave-dore_daniel-in-the-den-of-lions,contentment,The shading in this picture makes it come alive and gives it a good sense of depth,5
Impressionism,childe-hassam_hassam-street-in-portsmouth,contentment,"What a beautiful house in this lovely world, it brings a relaxing feeling over me.",6
Symbolism,mikhail-nesterov_christ-blesses-bartholomew,contentment,The boy is at peace taking direction from the angel.,6
Expressionism,george-mavroides_girl-wearing-white-dress-2000,something else,I am disappointed by the lack of facial expressions for the woman.,11
Post_Impressionism,maurice-utrillo_flowers,contentment,The flowers look like they are weaving out of the vase.,5
Baroque,jacob-jordaens_the-father-of-the-psyche-consultants-of-oracle-in-the-temple-of-apollo-1652,awe,Like peeing into a scene in an after life,6
Post_Impressionism,j.-e.-h.-macdonald_barbados-b-w-i-winter-1932,contentment,The clear sky and white clouds above a green beach makes me feel relaxed and sleepy.,6
Baroque,josefa-de-obidos_natureza-morta-doces-e-flores-1676,excitement,The food is exciting because it waits for the people to have a feast and celebrate.,5
Impressionism,childe-hassam_numph-bathing,something else,"A young woman bathing in a sheer dress. It's all yellow, bright tones and seems blissful.",5
Post_Impressionism,jan-sluyters_the-white-tree,fear,"The trees look peaceful, scary, and welcoming all at the same time.",6
Expressionism,george-bouzianis_houses-in-montmartre-1931,amusement,This child-like drawing of a house with colored pencils is more of a fanciful doodle than a serious attempt at fine art.,6
Post_Impressionism,janos-tornyai_autumn-morning-1907,contentment,The shading and brushstrokes really make the sky come alive,6
Realism,henri-fantin-latour_the-embroiderers-1895,contentment,Both figures seem to be deep in their work.,6
Realism,henri-fantin-latour_homage-to-delacroix-1864,something else,"The yellow base color mixed with the lost or worried stare in the eyes of those in the portrait gives a feeling of being uneasy, unstable; like when you're waiting for news in a hospital's waiting room.",5
Baroque,peter-paul-rubens_adoration-of-the-magi-1619,fear,The dark shadows and crowded figures suggest worrisome chaos.,5
Realism,frits-thaulow_winter-on-the-isle-of-stord,sadness,This painting makes me sad because it reminds me of cold weather.,7
Realism,frits-thaulow_winter-on-the-isle-of-stord,excitement,This reminds me of the anime BIG DADDY. The cabin looks warm and the picture looks almost real,7
Realism,gustave-courbet_self-portrait-with-striped-collar-1854,contentment,the man looks very whimiscal and like he's in deep thougth.,6
Post_Impressionism,kuzma-petrov-vodkin_theatre-drama,fear,"As soon as I look close, this picture becomes spooky from the light on the faces that comes from below casting the eyes into a weird glow or hazy face.",5
Art_Nouveau_Modern,jacek-malczewski_self-portrait-in-an-armour,fear,"The man looks arrogant and holier-than-thou, and the background is weird and unsettling.",6
Impressionism,childe-hassam_gate-of-the-alhambra,excitement,it looks like a photograph and not a paint,6
Symbolism,nicholas-roerich_himalayas-11,contentment,"The softness of the lines and the color choice make this painting quite soothing.  While it is a painting of mountains, it reminds me of the ocean.",5
Post_Impressionism,le-pho_yellow-lily,contentment,The orange flowers at the top look like birds taking flight.,6
Impressionism,childe-hassam_adams-and-st-helen-s-early-morning,contentment,"Two thirds of the canvas is awash with white light and a snow-covered mountain, with no sign of life.",6
Post_Impressionism,jacques-villon_the-negro-1899,amusement,The womans hat looks like she got a souvenir from Disneyworld.,11
Expressionism,filipp-malyavin_demonstration-of-a-newborn,contentment,They look like women in a family doing their traditional dances.,10
Naive_Art_Primitivism,radi-nedelchev_winter-night-1971,contentment,The shading on the hills in the background make them pop off the page,5
Impressionism,childe-hassam_moonrise-at-sunset-harney-desert,contentment,I like how the yellow ground and the bright sky make the desert look scorching.,5
Realism,gustav-klimt_portrait-of-a-girl-head-slightly-turned-left,awe,This girl looks like something heavy is on her mind and it makes her sad.,5
Romanticism,gustave-moreau_horseman,something else,The odd texture makes me curious to know what happened since its hard to see detail.,6
Baroque,jan-steen_wedding-of-sarah-and-tobias,fear,the images and facial expressions here are a bit shocking and uneasy feeling,6
Abstract_Expressionism,richard-pousette-dart_opaque-harmony-1943,something else,Confusion due to not sure what these colors & shapes are trying to present,5
Expressionism,henri-matisse_corner-of-the-artist-s-studio-1912,contentment,That chair in the painting has bright red and yellow coloring and looks comfortable.,6
Naive_Art_Primitivism,tarsila-do-amaral_o-touro,amusement,this creature with impossible horns looks so adorable because he's round shaped and contrasted with the blue poles looks very non threatening,5
Romanticism,henry-raeburn_portrait-of-colonel-alasdair-mcdonnell-of-glengarry,sadness,"a Highlander in the last days of the heyday of his culture, the shadows foretell its demise",6
Realism,gustave-courbet_cliffs-near-ornans-1865,something else,This painting of the darkness on the mountains and grass feels like the night is setting in all around.,6
Baroque,guido-reni_lucretia-1626-1,awe,"the use of bright red, blue, and yellow",5
Baroque,jacob-jordaens_the-bean-king-1,disgust,The spirited gathering with gluttonous sinners results in lurid expressions of various personalities.,6
Symbolism,nicholas-roerich_black-gobi-1928,awe,The monoliths with distant quarter moon have a cosmic atmosphere.,5
Art_Nouveau_Modern,konstantin-korovin_soldier-costume-design-for-gartman-s-ballet-1908,excitement,i hope to see the finish product because i think it is not still complete,6
Abstract_Expressionism,robert-goodnough_k-b-2-1992,disgust,This is just random colors and they clash with each other very badly.,6
Expressionism,george-bouzianis_actress-1954,disgust,The splotches of red on the woman seem to be blood and gore.,5
