art_style,painting,emotion,utterance,repetition,utterance_spelled,tokens,tokens_len,split,tokens_encoded,emotion_label
Realism,lovis-corinth_self-portrait-1888,contentment,The figures seem quite happy with one another and their warmth makes me happy.,6,the figures seem quite happy with one another and their warmth makes me happy,"['the', 'figures', 'seem', 'quite', 'happy', 'with', 'one', 'another', 'and', 'their', 'warmth', 'makes', 'me', 'happy']",14,train,"[1, 4, 188, 78, 117, 87, 19, 81, 317, 5, 88, 964, 24, 16, 87, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Post_Impressionism,vincent-van-gogh_still-life-with-red-cabbages-and-onions-1887,awe,"The garlic on the table is enormous, much more so than traditional heads of garlic",6,the garlic on the table is enormous much more so than traditional heads of garlic,"['the', 'garlic', 'on', 'the', 'table', 'is', 'enormous', 'much', 'more', 'so', 'than', 'traditional', 'heads', 'of', 'garlic']",15,train,"[1, 4, 4802, 18, 4, 264, 8, 1362, 151, 131, 35, 327, 1729, 1054, 7, 4802, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2
Expressionism,pyotr-konchalovsky_portrait-of-pyotr-konchalovsky-the-son-of-the-artist-1921,contentment,"You can just tell that the man reading his book is relaxed, and really getting into it. Reading is one of my favorite hobbies so I can certainly relate.",6,you can just tell that the man reading his book is relaxed and really getting into it reading is one of my favorite hobbies so i can certainly relate,"['you', 'can', 'just', 'tell', 'that', 'the', 'man', 'reading', 'his', 'book', 'is', 'relaxed', 'and', 'really', 'getting', 'into', 'it', 'reading', 'is', 'one', 'of', 'my', 'favorite', 'hobbies', 'so', 'i', 'can', 'certainly', 'relate']",29,train,"[1, 84, 101, 60, 290, 26, 4, 30, 583, 36, 336, 8, 240, 5, 74, 424, 129, 14, 583, 8, 81, 7, 105, 901, 2]",3
Impressionism,konstantin-korovin_paris-at-night-boulevard-des-italiens-1908,awe,The trees look like a giant sea of people gathered in the streets.,6,the trees look like a giant sea of people gathered in the streets,"['the', 'trees', 'look', 'like', 'a', 'giant', 'sea', 'of', 'people', 'gathered', 'in', 'the', 'streets']",13,train,"[1, 4, 92, 20, 11, 6, 647, 324, 7, 40, 711, 10, 4, 991, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,ivan-shishkin_covert-1894,excitement,Clear Proof: Bigfoot can be clearly spotted on the lower left between the left most tree and the second tree from the left in the dark shadows behind the bushes.,6,clear proof bigfoot can be clearly spotted on the lower left between the left most tree and the second tree from the left in the dark shadows behind the bushes,"['clear', 'proof', 'bigfoot', 'can', 'be', 'clearly', 'spotted', 'on', 'the', 'lower', 'left', 'between', 'the', 'left', 'most', 'tree', 'and', 'the', 'second', 'tree', 'from', 'the', 'left', 'in', 'the', 'dark', 'shadows', 'behind', 'the', 'bushes']",30,train,"[1, 427, 3, 3, 101, 28, 697, 7020, 18, 4, 1189, 263, 247, 4, 263, 569, 193, 5, 4, 1578, 193, 58, 4, 263, 2]",5
Impressionism,pierre-auguste-renoir_after-bathing-nude-study-1910,disgust,"The woman's butt is enormous, so she looks like a pig",6,the woman's butt is enormous so she looks like a pig,"['the', ""woman's"", 'butt', 'is', 'enormous', 'so', 'she', 'looks', 'like', 'a', 'pig']",11,train,"[1, 4, 123, 2040, 8, 1362, 35, 38, 15, 11, 6, 3641, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
Impressionism,zinaida-serebriakova_animal-farm-in-the-village-neskuchnoye,contentment,The animals here look like they are living the normal life of cattle. The world here just feels nice and calm.,6,the animals here look like they are living the normal life of cattle the world here just feels nice and calm,"['the', 'animals', 'here', 'look', 'like', 'they', 'are', 'living', 'the', 'normal', 'life', 'of', 'cattle', 'the', 'world', 'here', 'just', 'feels', 'nice', 'and', 'calm']",21,train,"[1, 4, 384, 143, 20, 11, 43, 17, 918, 4, 957, 111, 7, 3408, 4, 308, 143, 60, 119, 96, 5, 109, 2, 0, 0]",3
Impressionism,eugene-boudin_cows-in-a-field,amusement,"The cows are cute, not entirely sure why someone wants a painting of them though.",6,the cows are cute not entirely sure why someone wants a painting of them though,"['the', 'cows', 'are', 'cute', 'not', 'entirely', 'sure', 'why', 'someone', 'wants', 'a', 'painting', 'of', 'them', 'though']",15,train,"[1, 4, 928, 17, 619, 46, 1762, 257, 279, 171, 780, 6, 22, 7, 159, 164, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0
Impressionism,edgar-degas_before-the-curtain-call-1892,awe,The woman's dress looks like it's glowing in the dark,6,the woman's dress looks like it's glowing in the dark,"['the', ""woman's"", 'dress', 'looks', 'like', ""it's"", 'glowing', 'in', 'the', 'dark']",10,train,"[1, 4, 123, 157, 15, 11, 56, 933, 10, 4, 47, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,odilon-redon_the-turquoise-vase,awe,the pink and blue flowers contrast well together with the teal vase,6,the pink and blue flowers contrast well together with the teal vase,"['the', 'pink', 'and', 'blue', 'flowers', 'contrast', 'well', 'together', 'with', 'the', 'teal', 'vase']",12,train,"[1, 4, 305, 5, 63, 91, 144, 86, 127, 19, 4, 2009, 412, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Romanticism,osman-hamdi_lady-who-fits-the-vase(1),awe,The vibrant yellow dress is quite stunning in the way it stands out.,6,the vibrant yellow dress is quite stunning in the way it stands out,"['the', 'vibrant', 'yellow', 'dress', 'is', 'quite', 'stunning', 'in', 'the', 'way', 'it', 'stands', 'out']",13,train,"[1, 4, 272, 121, 157, 8, 117, 803, 10, 4, 67, 14, 416, 49, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Impressionism,john-henry-twachtman_snow-scene,sadness,"The tree looks like it is very tired and depressed, since it is bent over slightly.",6,the tree looks like it is very tired and depressed since it is bent over slightly,"['the', 'tree', 'looks', 'like', 'it', 'is', 'very', 'tired', 'and', 'depressed', 'since', 'it', 'is', 'bent', 'over', 'slightly']",16,train,"[1, 4, 193, 15, 11, 14, 8, 23, 556, 5, 853, 209, 14, 8, 1448, 120, 523, 2, 0, 0, 0, 0, 0, 0, 0]",7
Symbolism,viktor-vasnetsov_prince-andrey-bogolyubsky-1896,awe,The man looks really religious since he's holding a cross,11,the man looks really religious since he's holding a cross,"['the', 'man', 'looks', 'really', 'religious', 'since', ""he's"", 'holding', 'a', 'cross']",10,train,"[1, 4, 30, 15, 74, 440, 209, 223, 225, 6, 527, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Impressionism,pierre-auguste-renoir_woman-in-a-red-blouse,sadness,The woman is drooping her eyes like she's sad to be sitting there.,6,the woman is drooping her eyes like she's sad to be sitting there,"['the', 'woman', 'is', 'drooping', 'her', 'eyes', 'like', ""she's"", 'sad', 'to', 'be', 'sitting', 'there']",13,train,"[1, 4, 31, 8, 2197, 27, 93, 11, 277, 68, 9, 28, 214, 48, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Impressionism,konstantin-korovin_in-conjunction-1886,contentment,The figures seem quite relaxed as they go about the day in quite an obscure way.,6,the figures seem quite relaxed as they go about the day in quite an obscure way,"['the', 'figures', 'seem', 'quite', 'relaxed', 'as', 'they', 'go', 'about', 'the', 'day', 'in', 'quite', 'an', 'obscure', 'way']",16,train,"[1, 4, 188, 78, 117, 240, 32, 43, 259, 72, 4, 94, 10, 117, 37, 5022, 67, 2, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,william-holman-hunt_the-festival-of-st-swithin-or-the-dovecote-1875,contentment,The birds under the small edifice give a sense of peace and calm.,6,the birds under the small edifice give a sense of peace and calm,"['the', 'birds', 'under', 'the', 'small', 'edifice', 'give', 'a', 'sense', 'of', 'peace', 'and', 'calm']",13,train,"[1, 4, 543, 407, 4, 215, 3, 189, 6, 116, 7, 274, 5, 109, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Expressionism,pablo-picasso_untitled-1971-2,excitement,The naked people look like they're having a fun time dancing.,6,the naked people look like they're having a fun time dancing,"['the', 'naked', 'people', 'look', 'like', ""they're"", 'having', 'a', 'fun', 'time', 'dancing']",11,train,"[1, 4, 208, 40, 20, 11, 397, 254, 6, 195, 125, 580, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
Post_Impressionism,vincent-van-gogh_the-banks-of-the-seine-1887,contentment,A beautiful multi colored reflection in the water of the lush shoreline,6,a beautiful multi colored reflection in the water of the lush shoreline,"['a', 'beautiful', 'multi', 'colored', 'reflection', 'in', 'the', 'water', 'of', 'the', 'lush', 'shoreline']",12,train,"[1, 6, 55, 1713, 443, 585, 10, 4, 71, 7, 4, 761, 3263, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Post_Impressionism,vincent-van-gogh_outskirts-of-paris-near-montmartre-1887,sadness,"This looks like a very dirty, depressing place to live. There's no color, the houses are literally on top of one another, and the air is permeated by that thick, dark smoke.",6,this looks like a very dirty depressing place to live there's no color the houses are literally on top of one another and the air is permeated by that thick dark smoke,"['this', 'looks', 'like', 'a', 'very', 'dirty', 'depressing', 'place', 'to', 'live', ""there's"", 'no', 'color', 'the', 'houses', 'are', 'literally', 'on', 'top', 'of', 'one', 'another', 'and', 'the', 'air', 'is', 'permeated', 'by', 'that', 'thick', 'dark', 'smoke']",32,train,"[1, 12, 15, 11, 6, 23, 837, 490, 172, 9, 591, 356, 134, 53, 4, 590, 17, 2861, 18, 239, 7, 81, 317, 5, 2]",7
Realism,vincent-van-gogh_entrance-to-the-pawn-bank-the-hague-1882(1),sadness,The scene feels dull since everyone is wearing black,6,the scene feels dull since everyone is wearing black,"['the', 'scene', 'feels', 'dull', 'since', 'everyone', 'is', 'wearing', 'black']",9,train,"[1, 4, 52, 119, 460, 209, 304, 8, 242, 83, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Expressionism,otto-dix_self-portrait,disgust,The man's eyes seem quite filled with evil intent as he stares onward.,7,the man's eyes seem quite filled with evil intent as he stares onward,"['the', ""man's"", 'eyes', 'seem', 'quite', 'filled', 'with', 'evil', 'intent', 'as', 'he', 'stares', 'onward']",13,train,"[1, 4, 146, 93, 78, 117, 561, 19, 465, 1292, 32, 45, 1803, 2619, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
Impressionism,pierre-auguste-renoir_la-grenouillere-1869-1,excitement,The people gather in large crowds for the next boat ride.,6,the people gather in large crowds for the next boat ride,"['the', 'people', 'gather', 'in', 'large', 'crowds', 'for', 'the', 'next', 'boat', 'ride']",11,train,"[1, 4, 40, 2082, 10, 210, 2356, 34, 4, 402, 235, 1198, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
Impressionism,pierre-auguste-renoir_jean-renoir-in-a-chair-child-with-a-biscuit,contentment,The baby in this painting looks content and happy holding it's brush in one hand and a comb towards the mouth!,6,the baby in this painting looks content and happy holding it's brush in one hand and a comb towards the mouth,"['the', 'baby', 'in', 'this', 'painting', 'looks', 'content', 'and', 'happy', 'holding', ""it's"", 'brush', 'in', 'one', 'hand', 'and', 'a', 'comb', 'towards', 'the', 'mouth']",21,train,"[1, 4, 249, 10, 12, 22, 15, 124, 5, 87, 225, 56, 389, 10, 81, 334, 5, 6, 5747, 666, 4, 633, 2, 0, 0]",3
Realism,volodymyr-orlovsky_reaping-hiok,sadness,The people here are alone and working a hard life. It must be a burden to have such a life.,6,the people here are alone and working a hard life it must be a burden to have such a life,"['the', 'people', 'here', 'are', 'alone', 'and', 'working', 'a', 'hard', 'life', 'it', 'must', 'be', 'a', 'burden', 'to', 'have', 'such', 'a', 'life']",20,train,"[1, 4, 40, 143, 17, 470, 5, 417, 6, 233, 111, 14, 516, 28, 6, 3, 9, 70, 237, 6, 111, 2, 0, 0, 0]",7
Realism,vasily-perov_students-talk-with-the-monk-1871,amusement,It looks like these guys are having a spirited discussion and I am amused by spirited discussions.,6,it looks like these guys are having a spirited discussion and i am amused by spirited discussions,"['it', 'looks', 'like', 'these', 'guys', 'are', 'having', 'a', 'spirited', 'discussion', 'and', 'i', 'am', 'amused', 'by', 'spirited', 'discussions']",17,train,"[1, 14, 15, 11, 113, 1222, 17, 254, 6, 4335, 3467, 5, 13, 95, 459, 62, 4335, 3, 2, 0, 0, 0, 0, 0, 0]",0
Realism,vincent-van-gogh_the-bakery-in-de-geest-1882,contentment,The people are standing outside of stores that look very old-fashioned,6,the people are standing outside of stores that look very old fashioned,"['the', 'people', 'are', 'standing', 'outside', 'of', 'stores', 'that', 'look', 'very', 'old', 'fashioned']",12,train,"[1, 4, 40, 17, 314, 388, 7, 4352, 26, 20, 23, 153, 4033, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Impressionism,guy-rose_the-end-of-the-day-1891,awe,The detail in the workers as they walk home after a long day is quite breathtaking.,6,the detail in the workers as they walk home after a long day is quite breathtaking,"['the', 'detail', 'in', 'the', 'workers', 'as', 'they', 'walk', 'home', 'after', 'a', 'long', 'day', 'is', 'quite', 'breathtaking']",16,train,"[1, 4, 99, 10, 4, 1911, 32, 43, 481, 330, 469, 6, 217, 94, 8, 117, 1678, 2, 0, 0, 0, 0, 0, 0, 0]",2
Impressionism,john-singer-sargent_millet-s-garden-1886,awe,The shadows and bright colors make it look like a wonderful day outside.,6,the shadows and bright colors make it look like a wonderful day outside,"['the', 'shadows', 'and', 'bright', 'colors', 'make', 'it', 'look', 'like', 'a', 'wonderful', 'day', 'outside']",13,train,"[1, 4, 294, 5, 69, 21, 41, 14, 20, 11, 6, 558, 94, 388, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Northern_Renaissance,albrecht-durer_head-of-a-smiling-woman,amusement,I wonder if the way our faces look has changed that much from when this was painted to today.,6,i wonder if the way our faces look has changed that much from when this was painted to today,"['i', 'wonder', 'if', 'the', 'way', 'our', 'faces', 'look', 'has', 'changed', 'that', 'much', 'from', 'when', 'this', 'was', 'painted', 'to', 'today']",19,train,"[1, 13, 201, 79, 4, 67, 1065, 220, 20, 39, 2748, 26, 151, 58, 182, 12, 118, 269, 9, 1506, 2, 0, 0, 0, 0]",0
Northern_Renaissance,robert-campin_samian-sibyl,amusement,The woman presents the ribbon as if it holds importance.,6,the woman presents the ribbon as if it holds importance,"['the', 'woman', 'presents', 'the', 'ribbon', 'as', 'if', 'it', 'holds', 'importance']",10,train,"[1, 4, 31, 2449, 4, 2913, 32, 79, 14, 953, 1548, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Expressionism,sa-nogueira_figure,fear,the unlcothed man looks evil with no face,6,the unlcothed man looks evil with no face,"['the', 'unlcothed', 'man', 'looks', 'evil', 'with', 'no', 'face']",8,train,"[1, 4, 3, 30, 15, 465, 19, 134, 42, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Realism,vasily-polenov_christ-and-the-sinner-1873,fear,The stone structure looks like a kiln to cremate bodies in,6,the stone structure looks like a kiln to cremate bodies in,"['the', 'stone', 'structure', 'looks', 'like', 'a', 'kiln', 'to', 'cremate', 'bodies', 'in']",11,train,"[1, 4, 1131, 992, 15, 11, 6, 3, 9, 3, 572, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Expressionism,spyros-papaloukas_portrait-of-a-boy-1922,fear,The little boy is looking around with shifty eyes,6,the little boy is looking around with shifty eyes,"['the', 'little', 'boy', 'is', 'looking', 'around', 'with', 'shifty', 'eyes']",9,train,"[1, 4, 103, 442, 8, 59, 138, 19, 6919, 93, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Impressionism,walter-sickert_home-life,contentment,The man seems quite comfortable in the way he looks onward for more.,6,the man seems quite comfortable in the way he looks onward for more,"['the', 'man', 'seems', 'quite', 'comfortable', 'in', 'the', 'way', 'he', 'looks', 'onward', 'for', 'more']",13,train,"[1, 4, 30, 44, 117, 482, 10, 4, 67, 45, 15, 2619, 34, 131, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Realism,thomas-eakins_delaware-riverscape-from-gloucester,awe,The scene is quite beautiful in the way it shows the beauty of the river quite nicely.,6,the scene is quite beautiful in the way it shows the beauty of the river quite nicely,"['the', 'scene', 'is', 'quite', 'beautiful', 'in', 'the', 'way', 'it', 'shows', 'the', 'beauty', 'of', 'the', 'river', 'quite', 'nicely']",17,train,"[1, 4, 52, 8, 117, 55, 10, 4, 67, 14, 204, 4, 306, 7, 4, 451, 117, 573, 2, 0, 0, 0, 0, 0, 0]",2
Realism,john-lewis-krimmel_philadelphia-election-day-1815,excitement,Something exciting must have happened since all of these people came out onto the street.,6,something exciting must have happened since all of these people came out onto the street,"['something', 'exciting', 'must', 'have', 'happened', 'since', 'all', 'of', 'these', 'people', 'came', 'out', 'onto', 'the', 'street']",15,train,"[1, 73, 236, 516, 70, 1157, 209, 64, 7, 113, 40, 1318, 49, 905, 4, 480, 2, 0, 0, 0, 0, 0, 0, 0, 0]",5
Realism,william-adolphe-bouguereau_branche-de-laurier-1900,contentment,The woman is quite beautiful in the way she holds herself and her pose as she looks on.,6,the woman is quite beautiful in the way she holds herself and her pose as she looks on,"['the', 'woman', 'is', 'quite', 'beautiful', 'in', 'the', 'way', 'she', 'holds', 'herself', 'and', 'her', 'pose', 'as', 'she', 'looks', 'on']",18,train,"[1, 4, 31, 8, 117, 55, 10, 4, 67, 38, 953, 642, 5, 27, 458, 32, 38, 15, 18, 2, 0, 0, 0, 0, 0]",3
Impressionism,maxime-maufra_great-sea,awe,the water is done beautifully it almost looks like it's filled with diamonds,6,the water is done beautifully it almost looks like it's filled with diamonds,"['the', 'water', 'is', 'done', 'beautifully', 'it', 'almost', 'looks', 'like', ""it's"", 'filled', 'with', 'diamonds']",13,train,"[1, 4, 71, 8, 280, 653, 14, 135, 15, 11, 56, 561, 19, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Realism,vasily-surikov_room-in-surikov-s-house,something else,The womans house looks like it could use a bit more color.,6,the womans house looks like it could use a bit more color,"['the', 'womans', 'house', 'looks', 'like', 'it', 'could', 'use', 'a', 'bit', 'more', 'color']",12,train,"[1, 4, 737, 289, 15, 11, 14, 180, 176, 6, 192, 131, 53, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
Impressionism,pierre-auguste-renoir_anemones-1898,contentment,The purple rose on the right is blooming so hard it looks like it's smiling.,6,the purple rose on the right is blooming so hard it looks like it's smiling,"['the', 'purple', 'rose', 'on', 'the', 'right', 'is', 'blooming', 'so', 'hard', 'it', 'looks', 'like', ""it's"", 'smiling']",15,train,"[1, 4, 425, 1427, 18, 4, 216, 8, 1354, 35, 233, 14, 15, 11, 56, 735, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3
Realism,valentin-serov_portrait-of-sergei-chokolov-1887,awe,The man looks important since he's so sharply dressed and groomed,6,the man looks important since he's so sharply dressed and groomed,"['the', 'man', 'looks', 'important', 'since', ""he's"", 'so', 'sharply', 'dressed', 'and', 'groomed']",11,train,"[1, 4, 30, 15, 399, 209, 223, 35, 5207, 301, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Post_Impressionism,vincent-van-gogh_peasant-woman-head-9,contentment,"The grandmother looks very wise, and has a curious expression.",6,the grandmother looks very wise and has a curious expression,"['the', 'grandmother', 'looks', 'very', 'wise', 'and', 'has', 'a', 'curious', 'expression']",10,train,"[1, 4, 2210, 15, 23, 1442, 5, 39, 6, 337, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,orest-kiprensky_portrait-of-a-i-molchanova-with-daughter-1814,amusement,The young child is quite funny in the way he stares onward at the mother-fgure.,6,the young child is quite funny in the way he stares onward at the mother fgure,"['the', 'young', 'child', 'is', 'quite', 'funny', 'in', 'the', 'way', 'he', 'stares', 'onward', 'at', 'the', 'mother', 'fgure']",16,train,"[1, 4, 194, 140, 8, 117, 206, 10, 4, 67, 45, 1803, 2619, 29, 4, 297, 3, 2, 0, 0, 0, 0, 0, 0, 0]",0
Romanticism,vasily-tropinin_monk-with-candle-1834,fear,The way the man peers over the book almost strikes fear in the viewer.,6,the way the man peers over the book almost strikes fear in the viewer,"['the', 'way', 'the', 'man', 'peers', 'over', 'the', 'book', 'almost', 'strikes', 'fear', 'in', 'the', 'viewer']",14,train,"[1, 4, 67, 4, 30, 3637, 120, 4, 336, 135, 1500, 268, 10, 4, 455, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Realism,john-singer-sargent_flora-priestley-1889,sadness,The woman's skin is really pale so she looks ill,6,the woman's skin is really pale so she looks ill,"['the', ""woman's"", 'skin', 'is', 'really', 'pale', 'so', 'she', 'looks', 'ill']",10,train,"[1, 4, 123, 363, 8, 74, 574, 35, 38, 15, 1119, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Impressionism,konstantin-korovin_at-the-oke-1892,contentment,The subtle shine of the water provides a hope for the morning.,6,the subtle shine of the water provides a hope for the morning,"['the', 'subtle', 'shine', 'of', 'the', 'water', 'provides', 'a', 'hope', 'for', 'the', 'morning']",12,train,"[1, 4, 1035, 1388, 7, 4, 71, 937, 6, 624, 34, 4, 677, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Romanticism,theodore-gericault_napoleon-s-stallion-tamerlan,awe,The steed in this image has a mane and a coat that show its majesty and how much it is taken care of.,6,the steed in this image has a mane and a coat that show its majesty and how much it is taken care of,"['the', 'steed', 'in', 'this', 'image', 'has', 'a', 'mane', 'and', 'a', 'coat', 'that', 'show', 'its', 'majesty', 'and', 'how', 'much', 'it', 'is', 'taken', 'care', 'of']",23,train,"[1, 4, 3, 10, 12, 80, 39, 6, 4961, 5, 6, 1047, 26, 380, 114, 2870, 5, 76, 151, 14, 8, 726, 544, 7, 2]",2
